neighbourhood_group,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
Brooklyn,Private room,90.0,6,1,45.0
Manhattan,Entire home/apt,200.0,30,1,365.0
Brooklyn,Private room,30.0,3,1,45.0
Brooklyn,Entire home/apt,275.0,3,1,45.0
Manhattan,Entire home/apt,650.0,5,2,90.0
Brooklyn,Entire home/apt,700.0,3,1,45.0
Brooklyn,Entire home/apt,160.0,3,1,45.0
Manhattan,Entire home/apt,185.0,30,2,365.0
Manhattan,Entire home/apt,150.0,14,1,35.0
Brooklyn,Entire home/apt,145.0,7,1,45.0
Manhattan,Entire home/apt,150.0,4,1,45.0
Brooklyn,Private room,54.0,4,1,45.0
Queens,Entire home/apt,63.0,30,1,362.0
Manhattan,Private room,349.0,3,2,87.0
Bronx,Entire home/apt,80.0,1,1,45.0
Brooklyn,Entire home/apt,260.0,30,1,316.0
Manhattan,Private room,85.0,1,1,45.0
Manhattan,Entire home/apt,99.0,30,8,113.0
Manhattan,Entire home/apt,195.0,4,1,45.0
Brooklyn,Entire home/apt,219.0,5,1,45.0
Manhattan,Entire home/apt,150.0,26,1,45.0
Manhattan,Entire home/apt,395.0,3,1,340.0
Manhattan,Entire home/apt,300.0,7,1,45.0
Brooklyn,Private room,120.0,3,1,365.0
Manhattan,Entire home/apt,240.0,1,1,45.0
Manhattan,Entire home/apt,200.0,1,1,45.0
Queens,Entire home/apt,100.0,1,1,45.0
Manhattan,Entire home/apt,189.0,3,1,45.0
Staten Island,Entire home/apt,75.0,1,1,45.0
Manhattan,Entire home/apt,165.0,3,1,45.0
Manhattan,Entire home/apt,150.0,6,1,45.0
Manhattan,Entire home/apt,289.0,2,1,45.0
Manhattan,Private room,229.0,1,1,36.0
Brooklyn,Entire home/apt,125.0,5,1,45.0
Queens,Entire home/apt,225.0,1,1,45.0
Brooklyn,Entire home/apt,200.0,3,1,45.0
Brooklyn,Entire home/apt,185.0,3,1,45.0
Manhattan,Private room,75.0,2,1,45.0
Brooklyn,Entire home/apt,260.0,14,1,45.0
Manhattan,Entire home/apt,250.0,1,1,45.0
Brooklyn,Entire home/apt,125.0,150,1,45.0
Manhattan,Entire home/apt,140.0,1,1,45.0
Brooklyn,Entire home/apt,450.0,2,1,45.0
Manhattan,Entire home/apt,250.0,4,2,45.0
Manhattan,Entire home/apt,200.0,1,1,45.0
Manhattan,Entire home/apt,250.0,1,1,45.0
Brooklyn,Entire home/apt,245.0,4,1,45.0
Brooklyn,Entire home/apt,150.0,6,1,45.0
Brooklyn,Entire home/apt,220.0,29,1,45.0
Manhattan,Entire home/apt,120.0,1,1,45.0
Manhattan,Entire home/apt,100.0,1,1,45.0
Brooklyn,Entire home/apt,200.0,2,1,157.0
Queens,Entire home/apt,100.0,1,1,45.0
Brooklyn,Private room,125.0,31,2,331.0
Manhattan,Private room,65.0,1,1,45.0
Brooklyn,Private room,65.0,3,2,341.0
Manhattan,Entire home/apt,180.0,1,1,45.0
Manhattan,Entire home/apt,600.0,30,1,45.0
Manhattan,Entire home/apt,219.0,5,1,45.0
Manhattan,Entire home/apt,116.0,30,29,335.0
Manhattan,Private room,500.0,1,3,363.0
Manhattan,Private room,100.0,1,1,6.0
Manhattan,Entire home/apt,150.0,4,1,141.0
Manhattan,Entire home/apt,171.0,2,1,45.0
Brooklyn,Entire home/apt,120.0,5,1,45.0
Brooklyn,Private room,95.0,1,1,45.0
Queens,Entire home/apt,52.0,2,1,45.0
Manhattan,Entire home/apt,130.0,6,1,45.0
